Sıra No;Kitap Adı;Yazar Adı;Özgün Adı;Çevirmen;Serideki Yayın Yılı;Tanıtım Bülteni
66;"Maymun ve Öz";"Aldous Huxley";"Ape and Essence";"Süreyyya Evren";2021;"""Fikirlerin romancısı"" Aldous Huxley, 20. yüzyılın en önemli distopya yazarlarından biri. Cesur Yeni Dünya ve Ada'yla birlikte yazarın üç vizyoner klasiğinden biri sayılan Maymun ve Öz ise bunların içinde en karanlık olanı. Senaryo formunun kullanıldığı bu kitap, yazarın kurgunun yanında biçimde de yaratıcılığını gösterdiği deneysel bir roman.

Hollywood'da sıradan bir gün. Kahramanlarımız kenara atılmış senaryolardan birinin cazibesine kapılır ve biz de kendimizi bu senaryoyu okurken buluruz. ""Maymun ve Öz"" başlıklı bu tuhaf metinde anlatılanlara göre, Üçüncü Dünya Savaşı neredeyse tüm dünyayı yıkıma uğratmış, nükleer ve kimyasal silahlar uygarlığın sonunu getirmiştir.

Yıkımdan etkilenmeyen bir grup bilim insanı, Kaliforniya'ya bir inceleme gezisi düzenler. Bu kişilerden biri olan Dr. Poole o bölgede yaşayanlar tarafından tutsak alınır. Bu insanlar, Şeytan'ı yücelten yeni bir inanç sistemi kurmuşlardır. Dr. Poole, Şeytan'ın ve kötülüğün nasıl bir hâkimiyet kurduğunu öğrendikten sonra, artık oradan uzaklaşması gerektiğini anlar.

Uygarlığın teknolojik ilerlemesi nereye varacak? Savaşlar ve nükleer silahlanma dünyayı nereye götürecek? İnsan, kime ya da neye doğru evrilecek?

Maymun ve Öz, Şeytan'ın boynuzları tarafından çizilen bir din, etik ve evrim üçgeni."
67;"Liktorun Kılıcı";"Gene Wolfe";"Sword Of The Lictor";"Kerem Sanatel";2021;"Bilimkurgunun Melville'i olarak bilinen Gene Wolfe, spekülatif edebiyatın sınırlarını zorlayan, fantaziden bilim ve bilimden de fantazi çıkarmayı başaran, türün her alanında eşit muazzamlıkta eserler veren ender yazarlardan biri. Wolfe'un dilin ve türün imkânlarını sonuna kadar kullandığı, bilimkurgunun Ulysses'i olarak da anılan Yeni Güneş Kitabı'nın üçüncü cildi Liktorun Kılıcı'nda ise bu gizemli yolculuğun sonuna yaklaşıyoruz artık.

Günümüzden yüz binlerce yıl sonrası. Ancak öyle bir gelecek ki geçmişten farkı yok. Bugüne ait kültür ve olaylar artık bir anı bile değil. Gezegen, beklenmedik ve gizemli biçimlerde değişimler geçirmiş. Güneş'in ömrünün sonu gelmiş, sönmekte.

İşkenceci Severian, sürgün edildiği Thrax'a, Penceresiz Odalar Şehri'ne ulaştı sonunda. Ancak vicdanı yüzünden burayı da terk etmek zorunda kalacak ve dağları aşacağı bu yolculuğunda, adaş olduğu bir oğlan da yoldaşlık edecek ona.

Serinin bu cildinde, Severian, kaderin kendisi kadar azametli kılıcı Terminus Est ve pek kudretli bir ışığa sahip cevheri Pençe ile yoluna devam edecek, karşısına çıkan canavarları alt edecek, bu yıkılmış dünyanın mazisine dair biraz daha bilgi edinecek ve bazı eski yüzlerle tekrar karşılaşacak. Güneş elbet bir gün ölecek. Ve Yeni Güneş elbet bir gün doğacak.

Liktorun Kılıcı, tek hamleyle birbirinden ayrılmayan doğru ile yanlışın kitabı."
68;"Yer Açın! Yer Açın!";"Harry Harrison";"Make Room! Make Room!";"İrma Dolanoğlu Çimen";2021;"Harry Harrison, bilimkurgunun altın çağını yaratan isimlerden biri, hatta türün maceracı tarafını en faydalı şekilde kullanan ve derdini anlatmaktan taviz vermeyen en sivri dilli yazarı.Yer Açın! Yer Açın!ise, aşırı nüfus artışını konu edinen ilk eser, bugünün en büyük sorunları olan kaynak kıtlığı ve küresel ısınmayı da tahmin eden bir distopya.

Yıl 1999. Dünyanın nüfusu yedi milyarı aşkın. Yalnızca New York'ta otuz beş milyon insan yaşıyor. Yaz ayları aşırı sıcakken kış ayları her sene daha sert. Su ve yiyecek kıtlığı hiç olmadığı kadar fazla. Yağmacılık, hırsızlık, cinayet gündelik hayatın bir parçası.

Polis zoru ve hükümet baskısıyla ayakta kalan New York'ta, yeraltı dünyasının önemli bir figürü ve üst tabakanın bir üyesi olan Mike O'Brien, evine giren bir hırsız tarafından öldürülünce dedektif Andy Rusch bu davaya atanır.

Andy bir yandan kalabalığın yuttuğu katilin peşinden nafile koşarken bir yandan da şehirde başlayan kıtlık isyanlarıyla ve her geçen gün zıvanadan çıkan şiddet eylemleriyle mücadele etmeye çalışacaktır.

Yer Açın! Yer Açın!, yakın geleceğin boğucu bir tablosu."
69;"Alaycı Kuş";"Walter Tevis";"Mockingbird";"Cihan Karamancı";2021;"Walter Tevis, bilimkurgunun özünü çok iyi kavramış, çağının hem en asi hem de en yumuşak başlı yazarlarından biri. Yazarın Dünya'ya Düşen Adam ile birlikte en iyi bilimkurgu romanı olarak görülen Alaycı Kuş ise istikrar, düzen, mutluluk gibi maskelerin altına saklanmayan, dehşetli ve melankolik bir distopya.

Gelecek, insan nüfusunun fazlasıyla azaldığı, var olan insanların da ilaçlar sayesinde intihardan uzak durduğu, robotların ve teknolojinin hegemonyasında, kasvetli, post-apokaliptik bir yer. Bu dünyada ne sanat, ne kitap ne de yeni doğan çocuklar var. Öyle bir dünya ki insanlar yaşamaktansa diri diri yanmayı yeğliyor.

Ancak üç kişi sayesinde bir umut ışığı belirecekti: ölmek isteyen ama yazılımı gereği kendini öldüremeyen, dünyanın hâkimi, yaratılan en kusursuz makine, robot Spofforth; kendi kendine okumayı öğrenerek büyük bir suç işleyen Paul; düzenin dayattığı ilaçlardan kaçan Mary Lou.

İnsanlığın kederinin en karanlık kuytularında, sevginin mümkün olmadığı bir dünyada umut etme cesareti gösteren Mary Lou ile Paul'ün yolları, Spofforth'ın ikilemleri yüzünden hiç ummadıkları bir biçimde çatallanacak ve insanlığın kaderini değiştirecekti.

Alaycı Kuş, kaçınılmaz sonuyla uzlaşan insanlığın ağıtı."
70;"R.U.R.";"Karel Čapek";"R. U. R. &#8211; Rossumovi Univerzální Roboti";"Bilge Kösebalaban";2021;"Karel Čapek, henüz bilimkurgu ayrı bir tür değilken bu alanda vizyoner eserler üretmiş ve ""robot"" kelimesini dünya dillerine kazandırmış, hem Çek hem de Avrupa edebiyatının en kıymetli yazarlarından biri. R.U.R. ise yapay zekânın ve robotiğin modern yazın ve sanatta ilk kez anlamlıca yer bulduğu, öngörülü bir oyun.

Rossum'un Uluslararası Robotları'nın ürettiği yüz binlerce işçi robot tüm dünyaya satılıyordu. Robotlar toplumun ihtiyaçlarının çoğunu üretecek, insanları çalışmaktan kurtaracak ve insanlık için altın çağı getireceklerdi. Savaşın, açlığın ve fakirliğin olmadığı bir dünya hayal değildi artık.

Robot fabrikasında çalışan mühendisler, İnsanlık Birliği üyesi ve müdürün eşi Helena Gloryová'nın girişimleriyle ürettikleri robotları bir makineden ziyade bir insana yakın tasarlamaya başladıklarında ise, hem kendilerinin hem de insanlığın kaderini yapay ellere teslim edeceklerdi.

Her şeyi hafızalarına kaydeden ama yeni bir fikir üretmekten aciz olan robotların sağladığı bu ütopya, insanların üremeyi bırakmasıyla anlamını da yitirecekti. Ve yeni dünyanın temelleri bir isyanla atılacaktı.

R.U.R., insanın kendi eliyle yarattığı kıyameti."
71;"Mevki Uygarlığı";"Robert Sheckley";"The Status Civilization";"Mert Doğruer";2021;"Elli senelik kariyerine onlarca kitap, yüzlerce öykü sığdıran, bilimkurguya absürdist bir bakış açısıyla yaklaşan Robert Sheckley, bilimkurgunun meşhur mizah yazarlarından biri. Sheckley'nin en başarılı eserlerinden biri olan Mevki Uygarlığı ise iyiliğin hor görüldüğü, suçun kanun sayıldığı etkili bir hiciv.

Ranzasında uyanan adam, kim ve nerede olduğunu bilmiyor. Kapısına gelen korumanın dediğine göre ismi 402. Sandığı gibi bir hastane odasında da değil. Sonradan öğrendiğine göre adı Will Barrent, cinayetten suçlu bulunduğu için Omega gezegenine sürgün edilmiş. Ve Dünya'dan sürülmeden önce, tüm suçlulara yapıldığı gibi hafızası silinmiş.

Suçluların kontrolü altındaki, yeni gelenlerin ortalama hayatta kalma süresinin üç yıl olduğu vahşet dolu ceza gezegeni Omega'da ölmemenin tek yolu ise öldürmekten geçiyor.

Mutlak hukukun hüküm sürdüğü ancak söz konusu kanunların alt sınıflardan gizli tutulduğu, yeni sürgünlerin hayatlarına hiyerarşinin en dibinde başladıkları bu acımasız gezegende tutunmak için Will Barrent'ın da elini kana bulamaktan başka çaresi olmayacak.

Mevki Uygarlığı, kafasını ilerlemeyle bozmuş bir Dünya'nın karanlık yansıması."
72;"Geri Giden Saat";"Edward Page Mitchell";"The Clock That Went Backward";"Doğaç Yavuz";2021;"""Amerikan bilimkurgusunun kayıp devi"" olarak tanımlanan, yazdıklarının çoğunu New York'taki The Sun gazetesinde imzasız olarak yayımlayan Edward Page Mitchell, birçok konuda ilklerin yazarı. Geri Giden Saat ise yazarın en seçkin bilimkurgu öykülerinin bir araya getirildiği, özgün bir öykü derlemesi.

Bilimkurgunun en büyük yazarlarından biri olan H.G. Wells'e de ilham olduğu düşünülen Edward Page Mitchell, aynı zamanda döneminin en başarılı gazetecilerinden biridir. Öyküleri unutulmaya yüz tutmuş olsa da 1973'te bilimkurgu tarihçisi Sam Moskowitz'in titiz çalışması ve yayımladığı detaylı bir derlemeyle hak ettiği ilgiyi görmeye başlamıştır.

Sevdiği kadınla evlenebilmek için matematiğin sınırlarında gezinmek zorunda kalan bir genci anlatan ""Takipomp"", bilimsel bir süreç sonucu görünmez kalan bir adamın trajedisini gözler önüne seren ""Kristal Adam"", bir zaman makinesini konu alan ilk öykü olan ""Geri Giden Saat"", bu derlemedeki öykülerden sadece birkaçı.

Zaman yolculuğu, androidler, zihin transferi, bilgisayarlar… Geri Giden Saat'in sayfalarında bilimkurgu tarihinin derinliklerinden gelen ilklere şahit olacaksınız.

Geri Giden Saat, bilimkurgunun ilk kıvılcımları."
73;"Uzak Yarın";"Leigh Brackett";"The Long Tomorrow";"Berk Göbekcioğlu";2021;"Ray Bradbury'nin akıl hocası, Star Wars Bölüm V gibi klasikleşen birçok filmin senaristi, 1940'lar Amerika'sında kadınlara reva görülen hayatın çok ötesine geçerek hem Hollywood'da hem de bilimkurgu dünyasında adını kanıtlamaya çalışan Leigh Brackett, döneminin en cesur kalemlerinden. Uzak Yarın ise tasvir ettiği Amerikan pastoral kıyametiyle döneminin ruh hâlini ve nükleer korkusunu sayfalarında dolu dolu hissettiren bir kitap.

Tüm dünyayı mahveden ve şehirleri yerle bir eden Yıkım'ın ardından insanlar iki nesildir toparlanmaya çalışmakta, savaştan aldıkları derslerle dindar bir hayat sürmektedirler. Teknoloji, özellikle de insanın kendi zanaatıyla üretemeyeceği teknoloji hem dinen hem de kanunen yasaklanmış, merak Tanrı'ya şirk koşmakla eşanlamlı hâle gelmiştir.

Len ve kuzeni Esau Colter büyükannelerinden gizli gizli dinledikleri şehir hikâyeleriyle büyümüştür. Bir gün gözlerinin önünde yasaklı kasaba Bartorstown'dan olduğu gerekçesiyle bir adam recmedildiğinde, merakın, özgür düşüncenin ve özgürlüğün günah sayılan çekiciliğine kendilerini kaptırırlar. Önlerindeki uzun yol zorluklarla dolu olsa da hem yetişkinliğe hem de gerçeğe ulaşmak bu yoldan geçmektedir.

Uzak Yarın, insani ikilemlerde sınırların nerede çizilmemesi gerektiğinin büyük bir hatırlatıcısı."
74;"Semenderlerle Savaş";"Karel Čapek";"Válka s Mloky";"Sabri Gürses";2021;"Tüm belirtilerin büyük bir savaşı ve tiranlığın dirilişini işaret ettiği bir çağı yaşamasına karşın mizahından taviz vermeyen, hicvi totaliterliğe karşı etkin bir silah olarak kullanan Karel Čapek'in başyapıtı Semenderlerle Savaş, yazarın küçük ve kendi hâlindeki ülkesi Çekoslovakya'dan tüm insanlığa yaptığı bir uyarı niteliğinde.

İnsanlığı, gezegenin hakimiyeti için semenderlerle savaşa tutuşmaya götüren olaylar zinciri Pasifik'teki küçük bir adada başladı. İnci avcısı Kaptan von Toch bir gün bu işi insanlardan çok daha ucuza ve layıkıyla yapacak yeni bir türle karşılaştı: Semenderler.

Semenderlerin gezegendeki tüm kıyılara yayılmasındaki esas başarı ise, daha fazla kâr uğruna hiçbir sınırı aşmaktan imtina etmeyecek olan ekonomik sistemdeydi. Ucuz işgücü olarak kullanılan semenderler önce ekonomide, ardından da siyaset ve kültürde beklenmedik bir devrim yapmayı başardı.

Dünya'da Altın Çağ yaşanıyordu ama görünen o ki Altın Çağ'ın insanlara mı yoksa semenderlere mi ait olduğu konusu muallaktı.

Semenderlerle Savaş, insanın içindeki karanlığın bir aynası."
75;"Lilith'in Dölü";"Octavia E. Butler";"Lilith's Brood";"Pırıltı Onukar";2022;"Yalnızca kaleminin kuvveti değil aynı zamanda muhalif duruşu, ırk ve cinsiyet eşitsizliğine karşı tepkisiyle de döneminin en mühim figürlerinden biri olan tarihteki ilk kadın siyah bilimkurgu yazarlarından Octavia E. Butler, hem bilimkurguda hem de Afroamerikan edebiyatında bir dönüm noktası. Xenogenesis Üçlemesi'nin tüm kitaplarını bir araya getiren Lilith'in Dölü ise, siyasi tahakküm, cinsel farkındalık, mutasyon, üreme ve kadın-erkek ilişkilerine dair tabuları yıkan bir eser.

İnsanlık son savaşında atom bombasıyla Dünya'yı tükettiğinde Lilith Iyapo, eşini ve oğlunu kaybetmişti. Yüzlerce yıl sonra Lilith devasa bir uzay gemisinin derinliklerinde uyandı. Gemiyi ise, insanlığı yok olmaktan kurtarmak için tam zamanında gelmiş Oankaliler yönetiyordu.

Dünya hakkında öğrenebilecekleri her şeyi öğrenmişler, hayatta kalanları yüzyıllar boyunca uykuda tutup incelemişlerdi. Ama artık insanlığı Lilith'in önderliğinde, Oankalilerin yardımıyla iyileşen Dünya'ya geri götürmenin vakti gelmişti.

Ancak gezegene insanlarla birlikte Oankaliler de yerleşecekti. İnsanlara gezegenin vahşi doğasında hayatta kalmaya uğraşırken soylarını sürdürebilmeleri için tek bir seçenek sunulmuştu: Çocukları insan olmayacaktı. En azından tamamen.

Lilith'in Dölü, kendi kıyametinden kaçamayan insanlığa bir umut ışığı."
76;"Kara Bulut";"Fred Hoyle";"The Black Cloud";"Gül Korkmaz";2022;"Kariyerinin büyük kısmını Cambridge Astronomi Enstitüsü'nde geçiren, yıldız nükleosentezi teorisinin kurucusu, alanının saygın bilim insanlarından biri olan Fred Hoyle, aynı zamanda yetenekli bir bilimkurgu yazarı. Başyapıtı Kara Bulut da pek çok bilim insanına ilham veren, yazılmış en bilimsel spekülatif kurgu romanlarından biri.

Amatör astronomlar, rutin gözlemler sırasında gökyüzünde bir tuhaflık fark eder. Yıldızların belli bir bölümü, olması gerektiğinden çok daha karanlıktadır. Dahası bu karanlık giderek Güneş Sistemi'ne doğru genişlemektedir ve çok geçmeden simsiyah bir gaz bulutunun doğrudan Güneş ile Dünya'nın üzerine geldiği anlaşılır.

Harekete geçen yetkililer yaklaşık on sekiz ay içinde gerçekleşecek felakete hazırlanmaya başlar. Kara Bulut'u araştırmak üzere İngiltere'de, çeşitli ülkelere mensup bilim insanlarının bir araya geldiği bir enstitü kurulur. Bu enstitünün başında da huysuz ama fazlasıyla zeki astronom Christopher Kingsley bulunmaktadır.

Ancak yıkıma giden bu yolda, bilim insanları sadece evrenin acımasızlığıyla değil, hükümetlerin iktidarsızlıklarıyla da yüzleşmek zorunda kalacaklardır.

Kara Bulut, yıkımın insanlığın üzerine düşen gölgesi."
77;"Özerk'in Hisarı";"Gene Wolfe";"The Citadel of the Autarch";"Kerem Sanatel";2022;"Bilimkurgunun Melville'i olarak bilinen Gene Wolfe, spekülatif edebiyatın sınırlarını zorlayan, fantaziden bilim ve bilimden de fantazi çıkarmayı başaran, türün her alanında eşit muazzamlıkta eserler veren ender yazarlardan biri. Wolfe'un dilin ve türün imkânlarını sonuna kadar kullandığı, bilimkurgunun Ulysses'i olarak da anılan Yeni Güneş Kitabı dörtlemesinin son cildi Özerkin Hisarı başladığı yerde bitiriyor yolculuğu.

Günümüzden yüz binlerce yıl sonrası. Ancak öyle bir gelecek ki geçmişten farkı yok. Bugüne ait kültür ve olaylar artık bir anı bile değil. Gezegen, beklenmedik ve gizemli biçimlerde değişimler geçirmiş. Güneş'in ömrünün sonu gelmiş, sönmekte.

Severian bir zamanlar işkenceciydi, ardından liktor görevini üstlendi, şimdiyse yazgısındaki asıl mertebeye erişmek üzere. Ama önce ölü bir askeri diriltmeye çalışacak, ateşler içinde hasta yatacak, daha sonraysa dinleyeceği dört hikâyenin en iyisini seçecek.

Dörtlemenin son kitabında, Severian kadim bir nesneyi asıl sahiplerine teslim edecek, büyük bir savaşın içinde bulacak kendini, Harçâlem'in Özerki ile tanışacak en nihayetinde ve zamanın ötesindeki yeşil adam ile karşılaşacak bir kere daha. İnsanlığın yıldızlara tekrar erişip erişmemesi onun elinde artık. Güneş ise bir gün ölecek elbette. Peki, Yeni Güneş doğacak mı yine?

Özerkin Hisarı, tek bedende birden fazla ömrün kitabı."
78;"Koyunlar Yukarı Bakar";"John Brunner";"The Sheep Look Up";"Cenk Pamay";2022;"Bilimkurgu yazınının başlıca kâhinlerinden biri olan John Brunner, aynı zamanda türün en deneysel ve yenilikçi eserlerine imza atmış bir yazar. Koyunlar Yukarı Bakar ise yazarın en dehşet verici kehanetlerinden biri.

İki dünya savaşının ve sanayileşmenin ardından hava kirliliği öyle bir seviyededir ki insanlar maske takmadan açık havada yürüyemez hâle gelmiştir. Tarımda ve hayvancılıkta kullanılan toksik maddeler yüzünden bebeklerin ölüm oranları artmış, doğum kusurları ve fiziksel hastalıklar normal sayılmaya başlamıştır. Büyük şirketler her türlü kâr için savaşırken, yozlaşmış hükümet görevlileriyse cebini doldurmanın peşindedir.

Çevreci Austin Train yaptığı kehanet niteliğindeki uyarıların ardından gördüğü tepkiler yüzünden firardadır. Radikal çevreci gruplar onun liderliğini ve manifestosunu benimsemişken hükümet ise onu ortadan kaldırmanın planlarını kurmaktadır. Medyanın tek derdi ise reyting kaygısıdır. Çok az insan dünyanın geleceğinin, insanlığın kirli parmakları arasından kayıp gitmekte olduğunun farkındadır.

İnsanlık olarak çevreye verdiğimiz zararı geri alabilir miyiz? Yoksa her şey için artık çok mu geç kaldık?

Koyunlar Yukarı Bakar, günümüzün ve geleceğimizin otopsisi."
79;"Bir Kadın Astronotun Anıları";"Naomi Mitchison";"Memoirs of a Spacewoman";"Serim As Özdemir";2022;"Cinsiyet, kürtaj, doğum kontrolü ve özgür aşk gibi konularda tartışmalı eserlere imza atan, tüm hayatını aktivizme adayan Naomi Mitchison aynı zamanda feminist bilimkurgu edebiyatının önemli eserlerinden birini kaleme alan cesur bir yazar. Bir Kadın Astronotun Anıları da Mitchison'ın dönemine göre ilerici fikirlerini sakin dille anlattığı, geleneksel anneliği sorgulayan, şaşırtıcı bir roman.

İnsanlık yıldızlara seyahat etmiş ve hiç de yalnız olmadığını öğrenmiştir. Farklı gezegenlere yapılan yolculuklarda birbirinden farklı uzaylı yaşam türleriyle karşılaşan insanlar dikkatlerini bu canlılarla iletişim kurmaya yoğunlaştırmıştır.

Bir iletişimci ve kâşif olan Mary uzak galaksilere yaptığı seyahatlerde karşılaştığı yaşam formlarına karşı müthiş bir tutku ve şefkatle doludur. Ama uzay araştırmalarında birinci kural müdahale etmemektir. Yine de Mary'nin gezilerine duygusal karmaşa eşlik eder. Zamanla hayattaki yerini bulurken kendi kadınlığını da keşfedecektir.

İnsanlardan çok daha farklı bir biyolojiye sahip canlılarla iletişim kurmak ve anlaşabilmek mümkün müdür? Peki insanlarla hayvanlar arasında eşit bir ilişki söz konusu olabilir mi?

Bir Kadın Astronotun Anıları, geleneksel değer yargılarını yerle yeksan eden bir hatırat."
80;"Cennetin Çeşmeleri";"Arthur C. Clarke";"The Fountains of Paradise";"Gökçe Çiçek";2022;"Arthur C. Clarke, bilimi edebiyatla eşsizce birleştiren, bilimkurgunun üç büyük ustasından biri. Cennetin Çeşmeleri ise bilimin popüler ""uzay asansörü"" fikrini, kurgusal bir tarihin merceğinden insanın gelişime duyduğu tutkuyla harmanlayarak ele alan bir şaheser."
81;"Düşyılanı";"Vonda N. McIntyre";"Dreamsnake";"Aslı Genç";2022;"Vonda N. McIntyre, 1970'lerin feminist bilimkurgu hareketinin ön saflarında yer alan, arkadaşı ve işbirlikçisi Ursula K. Le Guin gibi, edebiyatta ve özellikle bilimkurguda yaygın görülen cinsiyetçiliğe meydan okuyan ileri görüşlü bir yazar. Düşyılanı ise bilimkurgunun üç büyük ödülünü alan türün sayılı romanlarından biri.

Nükleer savaşla yaralanmış Dünya'da insanlık küçük kasaba ve kabilelere dağılmış, dünya dışı varlıkların teknolojileri ve sırları, tek şehrin duvarları ardındaki herkese yasaklanmıştır. Yılan isimli şifacı ise bu yokluk dünyasında hastalıkları iyileştirmek ve aşı geliştirmek için yılanlarıyla dolaşarak zehrin gücünü kullanmaktadır.

Yılan, hasta bir göçebe çocuğa yardım ettiği sırada, nadir bulunan düşyılanı, korkusuna yenilen bir kabile üyesi tarafından öldürülür. Yılan'ın şifa vermeye devam edebilmesi için tek bir seçeneği vardır: Yeni bir düşyılanı bulmak. Bu yüzden çorak çöllerden radyasyon çukurlarına, bilgisini kıskançlıkla koruyan şehirden dünya dışı varlıkların sırlarına uzanan tehlikeli bir yolculuğa çıkmak zorunda kalacaktır.

İnsan hayatını tehdit eden bir dünyayı ve işlevsizleşmiş toplumları tek bir kişi ne kadar etkileyebilir? Şifa vermek sadece bedeni iyileştirmek midir?

Düşyılanı, insanların hasta ettiği bir dünyanın reçetesi."
82;"Stepford Kadınları";"Ira Levin";"The Stepford Wives";"Seçkin Selvi";2022;"Ira Levin, Stepford Kadınları ve Rosemary'nin Bebeği gibi eserleriyle popüler kültürün haletiruhiyesini şekillendiren, eserlerinde gizem, korku, bilimkurgu gibi pek çok türün unsurlarını birleştiren bir yazar. Stepford Kadınları da normal denilenin gizlediği ürkütücülüğü ve kusursuz kadınlarıyla paranoyaya uzanan bir feminist gerilim romanı.

Connecticut'taki Stepford kasabası tüm varlıklı insanların, başarılı ve memnun kocaların, güzel ve saygılı eşlerin yaşadığı pastoral bir cennet köşesidir. Joanna Eberhart da bu kasabaya kocası ve iki çocuğuyla birlikte yeni taşınmıştır.

Başta her şey yolundadır. Stepford kusursuz bir kasabadır. Her şey gerçek olamayacak kadar iyidir. Ancak Joanna'nın canını sıkan bazı şeyler vardır. Her şey fazla kusursuz, herkes fazla mutlu, kadınlar fazla itaatkârdır. Stepford'ın karanlık kalbinin Erkekler Kulübü'nde attığından şüphelenmeye başlayan Joanna içinse hiçbir şey eskisi gibi olmayacaktır.

Stepford'ın kusursuzluğunun altında yatan gerçekler açığa çıkacak mıdır? Peki ya Joanna, Stepford tarafından yutulmaktan kendini kurtarabilecek midir?

Stepford Kadınları, erkek egemen toplumun kayan maskesi."
83;"Callahan Günlükleri";"Spider Robinson";"The Callahan Chronicals";"Doğa Özışık";2023;"Spider Robinson, 20. yüzyılın son çeyreğindeki bilimkurgu camiasının en yaratıcı ve güçlü seslerinden biri, yeri de Douglas Adams ve Terry Pratchett gibi yazarların yanı. Callahan öykülerini bir araya getiren Callahan Günlükleri ise absürt, sarsıcı, heyecanlı ve oyunbaz bir eser.

Callahan'ın Yeri, her zamandan insana ve her galaksiden uzaylıya kapısı açık bir mekân; müdavimleri ise normalin tam zıddı kimseler: zaman yolcuları, konuşan köpekler, alkolik vampirler, sibernetik uzaylılar ve birbirlerini önemseyen bir grup insan. Burası kötü kelime oyunlarının da iyi sohbetler kadar takdir edildiği nadir yerlerden biri.

Bir zaman polisi zaman suçlusunun peşine düşüyor, uzak gezegenden bir uzaylı içini dökmek istiyor, aynanın içinde hapis kalan bir adam yardım arıyor, intiharın eşiğindeki bir telepat özel gücünden kurtulmaya çalışıyor ve her birinin yolu Callahan'ın Yeri'ne düşüyor.

Tüm bunlar olurken Callahan'ın Yeri'nin müdavimlerini çok daha büyük bir görev bekliyor: Dünya gezegeninin sonunu getirecek komploya engel olmak.

Callahan Günlükleri, kitabın empat hâli."
84;"Güneşin Altın Elmaları";"Ray Bradbury";"The Golden Apples of the Sun";"Mehmet Moralı";2023;"Ray Bradbury sadece bilimkurgunun değil, fantastik edebiyatın ve korkunun da yirminci yüzyıldaki ustalarından biri. Bilimkurgunun ""iyi edebiyat"" da olabileceğini kanıtlayan belki de ilk yazar. Yazarın ilk derlemelerinden biri olan Güneşin Altın Elmaları ise Bradbury'nin erken dönem öykülerinden otuz iki tanesini bir araya getiren gerçek bir hazine.

Bir kupa dolusu güneş ışığı için roketle Güneş'e giden bir kaptan, deniz fenerine âşık olan bir deniz canavarı, sevildiğini hissetmek isteyen bir cadı, kişisel cennetlerini keşfeden astronotlar…

Sıradan yaşamın tuhaf, gizemli ve büyülü yanlarını, bilimkurgu ve fantazinin arasındaki sınırları esneterek anlatan öyküler içeren Güneşin Altın Elmaları'nda Bradbury aile, iktidar, hayal gücü, yalnızlık ve uygarlık gibi temaları kendine has dili ve üslubuyla işleyerek insanlık tarihinin dramatik bir özetini çıkarıyor âdeta.

İnsanlık başka dünyalara hasret olmaya mahkûm mudur? Yoksa tüm arzularımızı karşılayan bir dünya mümkün mü?

Güneşin Altın Elmaları, içtekini keşfetmek için çıkılan uzak yolculuk."
85;"Neuromancer";"William Gibson";"Neuromancer";"N. Can Kantarcı";2023;"William Gibson, adını bilimkurgu tarihine neon harflerle yazdırmış, siberpunk türünü âdeta tek başına var etmiş bir yazar. İlk romanı Neuromancer da yayımlandığı andan itibaren türün klasiklerinden birine dönüşen, birçok alanda etkisini hâlâ hissettiğimiz bir şaheser.

Yetenekli siberuzay kovboyu Case, işverenini soyarken yakalandığı için psikedelik bir ilaçla matrisle olan bağlantısını yitirir. Etten bir beden içinde sıkışan ve eskisi gibi matrise bağlanıp özgürce süzülmenin hayalini kuran Case, yaşadığı kanunsuz Çiba Şehri'nde hayatta kalmak için her türlü tehlikeli işle haşır neşir olur.

Ayna gözlüklü jiletkız Molly'nin onu Armitage isimli gizemli bir işadamı için kaçırmasıyla her şey değişir. Case'e matrise tekrar bağlanabilmeyi vadeden Armitage, ondan imkânsızı gerçekleştirmesini ister. Bu amaç uğruna Case, Molly'yle birlikte İstanbul'dan Dünya yörüngesine ve siberuzayın en derin köşelerine kadar uzanan, zorlu bir maceraya atılmak zorunda kalacaktır.

Siberuzayda yaşam, her şeyden daha gerçek olabilir mi? İnsanlar etten bedenlerini geride bırakabilirler mi?

Neuromancer, karşılıklı mutabakata dayalı bir halüsinasyon."
